,"DF UG Student journey map 2025/26 (20 credits)
- No more than 6.0 at 1000
- At least 5.0 at 3000 or higher + 1.0 at 4000
- At least 1.5 credits of A&S at 3-4000",,,,"DF – The Games and Playable Media Maker 
WTF Do I Do? 
•	Explore the breadth of game making to create new possibilities, beyond replicating existing designs and genres. 
•	Become a storyteller through playable media through the intertwined development of narratives, mechanics, aesthetics, interface, code, and design. 
•	Have a specialized skill within the game design and development pipeline, but also the ability to work in other areas as needed. 
•	Know how to work both independently and with a team to create engaging, complex, and well-designed playable experiences. ",,,
,The Games and Playable Media Maker,,,,,,,
,,,,,,,,
,DIGITAL FUTURES,,Core Courses,Program-Specific Electives,Open Electives (Choose 2 or more),Breadth Electives,,
,YEAR 1 (5),Semester 1 (Fall),"DIGF-1002 Cross-Disciplinary Collab (0.5 Credits) - From concept to implementation, most projects require a diversity of people and skills in order to make the project successful or feasible. This course examines different models of collaboration, team formation, and communication to ensure success. It discusses the value and implications of different skill sets and problem-solving orientations over project life-cycles and group decision making. The course comprises reading discussions, small-exercises and student reflections with the aim to understanding the conditions and stages for high-functioning teams and successful projects. Note: This ""Writing Across the Curriculum"" (WAC) course is part of an initiative to support students in their disciplinary writing. ","DIGF-1007 Intro to Game Design (0.5 Credits)
From film, television, animation, web to mobile; digital games are a central part of the modern media experience. This studio seminar course provides a practical introduction to game design via a series of applied game-making exercises. This course provides practical and theoretical studies of games and gameplay to build foundational game design skills for broad application. Class exercises will frame the fundamentals of games: rules, play and culture to support the game design process. Through a series of game making exercises the student will learn and apply a range of methods and approaches to design and build playful game experiences. Students with credit in DIGF-1B02, GDES-1028 or GDES-1B30 may not take this course for credit.","ILLU-1002 Illustrative Concepts 1 (0.5 Credits)
Fundamental theories and practices in the field of contemporary illustration are introduced with an emphasis on ideation and visual problem-solving methods. Design processes are applied to a variety of studio projects, including problem definition, research and observation, brainstorming, mind-mapping and visual synthesis, divergent and convergent thinking, critical thinking, and cycles of refinement. Central to this course is the illustrator's role as storyteller, communicator and commentator. Note: This ""Writing Across the Curriculum"" (WAC) course is part of an initiative to support students in their disciplinary writing. Students with credit in ILLU-1B02 may not take this course for credit.
Requisites:
None","ENGL-1003 The Essay & the Argument (0.5 Credits) This course is designed specifically for students who wish to sharpen their writing skills through intensive practice and review of composition mechanics and English grammar. Students will focus on grammar fundamentals, paragraph construction and reading strategies. This workshop allows students to explore aspects of essay composition while developing confidence in their own writing skills through practical exercises.Students who select this course will develop their basic writing skills such as sentence, paragraph and essay structure, punctuation, as well as critical thinking. Students with credit in ENGL-1004, ENGL-1B03, ENGL-1B04, LBST-1A41, LBST-1B11, ENGL-1B05, LBST-1A42, LBST-1B12, LBST-1004, LBST-1A43, LBST-1B13, LBST-1001, LBST-1A40 may not take this course for credit.",,"Definitions (for editing down):
"
,,,,,"EXAN-1001 Intro: Experimental Animation (0.5 Credits)
Focusing on experimental animation practice, this course introduces the diversity of histories, techniques and principles of animation through a sequence of studio exercises, material explorations, short written assignments, lectures, screenings and seminars. Techniques introduced include: drawing for 2D animation, stop-motion, rotoscoping and sound design for animation. Students with credit in INTM-2006 or INTM-2B11 may not take this course for credit.","VISC-1002 Global Vis & Mat Cult: to Pres (0.5 Credits)
This lecture course surveys developments in global nineteenth through the twentieth-first-century art, architecture, design and material culture. Students will explore the historical, intellectual and socioeconomic contexts of this period using key examples of visual and material culture, while addressing themes such as industrialization, imperialism, propaganda, mass reproduction, technology and globalization. Particular emphasis will be placed on theoretical and critical issues emerging during this time period, including concepts of exoticism, scientific truth, the reproduction of images, the public sphere, commodity culture, hybridity and indigeneity from a global perspective that traces the development of multiple modernisms and postmodernity. Students with credit in LBST-1B05, VISC-1B07 may not take this course for credit.",,
,YEAR 1,Semester 2 (Winter),"DIGF-1003 Atelier 0  (0.5 Credits) - This course introduces the core ideas of the Digital Futures program. It synthesizes the technical and conceptual methods introduced in the first year of the program, and provides a space of experimentation for students to explore them further. The goal is to prepare students for the Ateliers and explore how their work can engage industries and communities beyond the classroom. ",,"INDS-1003 Body, Object & Digital Space (0.5 Credits)
This course observes nature through the exploration of line, pattern, form - translating them Into digital space, then into tangible objects. Students gain insight into how the human body relates to objects and space. By investigating the basic components of an object's architecture (form, material, structure, texture) students will learn how to reference the natural world through the integration of narrative in the creation of a product. Students will also learn how basic CAD skills can integrate ideas into the iterative process of concept development through the exploration and development of objects and their specific materials using analogue and digital methods.",,,
,,,"SCTM-2005 Intro Comp Sci-Logic & Coding  (0.5 Credits)- This course introduces students to the fundamentals of logic, and computer programming. It emphasizes object-oriented languages, allowing students to understand and later develop capacity in a wider range of programming methods. The material will be contextualized within both art and design practices, introducing students to programming for environments, objects and online, as well as practices of interaction, automation, generation, networks and visualization. Students will understand how to incorporate and recombine existing code and to use established design patterns. Basic foundational coding languages will be used to introduce key concepts that students can employ in their subsequent study of advanced programming languages . Students will be asked to bring in work-in-progress from their studio courses that can be implemented through coding. ",,"EXAN-2008 Intro to 3D Modeling and Anim (0.5 Credits)
This course introduces 3D modeling and animation as tools for artistic expression. Students learn techniques of modeling, texturing, lighting, rendering, introductory animation and camera movement. The critical context of 3D graphics and animation history as well as examples from contemporary art and animation practice are discussed in relation to studio assignments. Students are introduced to the requirements of specific applications of 3D asset creation for different outcomes. Students with credit in INTM-2016, INTM-2B33 may not take this course for credit.
",,,
,,,"DIGF-2002 Physical Computing  (0.5 Credits) - Physical computing is a human centric approach to the ways in which we bridge the analog and digital worlds. Through a series of hands-on labs that promote quick prototyping and iterative design, students expand their understanding of the relationship between electronics and software and create a variety of working prototypes, kinetic artworks, installations, and physical environments. ",,,,,
,,,,,,,,
,YEAR 2 (5),Semester 3 (Fall),"DIGF-2014 Atelier I: Discovery (1.0) - This studio-seminar course investigates current themes, technologies and debates that inform interdisciplinary digital science, art, design and enterprise. The classes explore issues and problems through project research, conception and initiation - including readings and discussion, lectures, site visits, engagement with industry partners, and student presentations. Students apply personal and group problem-solving strategies to their collective work. Seminar topics are developed on an annual basis through a faculty and student curriculum retreat process. ","DIGF-2013 2D Game Design (0.5 Credits)
Games are a major entertainment form of the 21st century. As a design discipline, digital game form combines game worlds, rule sets and play to actively engage a player in an ongoing gameplay experience. Students will iteratively design, visualize, develop, document and test unique game concepts to a final proof of concept stage. Developing skills from paper prototyping, game modelling and level design through to storyboarding, asset creation, character design and animation, this course provides a solid foundation in game design methodology for use both within and beyond the game industry. Students with credit in GDES-3063 or GDES-3B70 may not take this course for credit.","INTM-2004 Sonic Arts (0.5 Credits)
This course introduces sound and audio as artistic media. Students learn to record sounds and transform them using visual editing computer software. Each student works at shaping and building this material into short sound studies. Contemporary and historical examples of artists' audio projects and methods of electronic composition are presented and discussed. Students are encouraged to develop their sound studies for film or video soundtracks, in performance or as audio installations. Students with credit in INTM-2B06 may not take this course for credit.
Requisites:
3.0 credits overall - Must be completed prior to taking this course.
2.0 credits of first and second year from ADVR ASOC BUSI CRCP CROS CRWR DIGF DRPT ENVR EXAN FABR GART GDES GRPH ILLU INDS INTM INVC IVCA IVCD LIFE MAAD PHOT PRNT PRPB SCIN - Must be completed prior to taking this course.
1.0 credit of first-year from ENGL HUMN IVCL IVCV SCTM SOSC VISA VISC VISD VISM - Must be completed prior to taking this course.","HUMN-2007 Computational History & Theory (0.5 Credits)
Data machines in computational science transform information into science and social science knowledge – about disease, environments, human behaviour, traffic patterns, etc. This course studies the history of computational mathematics, computational neuro/cognitive sciences and practitioners, addressing how trends in mathematics and scientific paradigms inform science practices and their social effects. Students will employ critical approaches from science studies, philosophy, and communication to evaluate data's historical evolution, its constraints within modular systems and consumer science literature. The course examines historical and contemporary case studies to see how critical theory can be employed to study data in broader, complex (biological and sociocultural) systems to create meaningful findings for society. Students with credit in HUMN-2B31 may not take this course for credit.",,
,,,,,"EXAN-2006 2D Dig. Animation Principles (0.5 Credits)
Focusing on experimental animation practice, lectures, screenings and hands-on demonstrations introduce a diversity of approaches to the contemporary practice of animation. This intermediate course expands on the introduction to the histories, techniques and principles of experimental animation introduced in EXAN-1001 Intro to Experimental Animation. Workshops and exercises further develop principles relevant to drawing for animation using digital tools, timing and pacing, and sound sync. Students with credit in INTM-2019 may not take this course for credit.
Requisites:
INTM-2006 or EXAN-1001 - Must be completed prior to taking this course.
3.0 credits overall - Must be completed prior to taking this course.
2.0 credits of first and second year from ADVR ASOC BUSI CRCP CROS CRWR DIGF DRPT ENVR EXAN FABR GART GDES GRPH ILLU INDS INTM INVC IVCA IVCD LIFE MAAD PHOT PRNT PRPB SCIN - Must be completed prior to taking this course.
1.0 credit of first-year from ENGL HUMN IVCL IVCV SCTM SOSC VISA VISC VISD VISM - Must be completed prior to taking this course.","VISM-2006 Critical Play (0.5 Credits)
Through critical play practices, we experiment with identity, creative expression and invention, and we learn to improvise in a system of rules. This course addresses how such forms of play can generate criticality among players. Students will explore meaning-making in play through exploration of a range of games, and by tracing a history of subversive art practices from Surrealism to contemporary game creation. Finally, the course presents diverse analytical approaches, including art history, critical theory and visual culture, to enable students to construct critical play practices. Understanding games beyond entertainment, the course seeks to foster critically-aware gamers. Students with credit in VISM-3001, VISM-3B01 may not take this course for credit.",,
,YEAR 2,Semester 4 (Winter),"DIGF2015 Atelier II: Collaboration (1.0) - In Atelier II: Collaboration, students develop their ideas and execute their projects as prototypes collectively with feedback from faculty and industry partners. Atelier II: Collaboration is linked to Atelier I: Discovery and builds on the practical and technical skills gained in the fall semester.The course encourages a wide range of approaches to collaborative research and practice-based problem-solving methods. Interaction with industry partners begun in the first semester in Atelier I: Discovery is deepened in the second semester with Atelier II: Collaboration as students work towards a physical articulation of their creative projects. Note: This ""Writing Across the Curriculum"" (WAC) course is part of an initiative to support students in their disciplinary writing.","DIGF-2012 Low Poly Game Art (0.5 Credits)
Low polygon 3D art occur in real-time applications like digital games that have historically been constrained by the technologies used. However this approach to 3D modelling has become a contemporary art form evidenced across a wide range of contexts from art galleries to game consoles. This studio course surveys a broad range of approaches to building low poly game art exploring 3D production processes and contexts of delivery. Students will produce low poly playable experiences ready for exhibition.","EXAN-2004 XR Space Jam (0.5 Credits)
XR (Virtual, Augmented and Mixed Reality) technology is explored to expand traditional assumptions of animation to include intuitive, innovative, and performative aspects. In a series of low stakes assignments, students familiarize themselves with immersive 3D technology, including 3D volumetric video and image captures. This beginner course positions the artist as a member of an inclusive and diverse community to begin developing critical engagement with a broader experimental practice. It helps animators associate 3D environments with other disciplines like stop motion, 2D animation and drawing and painting.","SOSC-2003 Doing Human-Centred Research (0.5 Credits)
Students will acquire basic skills in the collection, preparation, and reporting of human-centred research. The research methods to be taught will include content analysis, ethnographic field research, interviewing, and the development of surveys and questionnaires. The course will also review a range of ways of presenting research findings. This will all be taught with a view to working with human research subjects in an ethical manner. Students with credit in SOSC-3011, SOSC-2B06 may not take this course for credit.",,
,,,,,"EXAN-2009 3D Modeling & Animation 2 (0.5 Credits)
Building on fundamentals of modeling and animation, this intermediate course further explores 3D graphics as means of artistic expression. Students interrogate the contemporary artistic and critical context of computer-generated imagery and representation while developing technical skill through studio projects, lectures and technical demonstrations. Cultural implications of character creation and the digital representation of the human figure are considered. Techniques for 3D character creation include organic modeling, sculpting, texturing and rigging. Animation through the use of keyframing, motion capture data and dynamics is also included as students learn skill sets required for the creation of digital assets for animation and gaming. Students with credit in INTM-2020 may not take this course for credit.
Requisites:
INTM-2016 or EXAN-2008 - Must be completed prior to taking this course.","VISM-2003 Introduction to Games Studies (0.5 Credits)
Games studies views games as complex objects, mapping the game ""object"", the player ""subject"" and the critical dialogue that delimits game space. This course explores games as cultural artifacts, arising from diverse cultural histories, landscapes and geographies, impacting and impacted by sub-cultures. Students will learn to analyse the mechanics, aesthetics and practices of games via varied analytical approaches addressing their textual, performative, socio-cultural, design and political contexts. As well, the course introduces students to tools and techniques to analyze the cultural impact of the videogame. Students with credit in VISM-2B15 may not take this course for credit.
Requisites:
0.5 credit from first year Liberal Studies IVCV VISA VISD VISC VISM or LBST-1D01 - Must be completed prior to taking this course.
One of: ENGL-1003, ENGL-1004, LBST-1D01 or 0.5 credits of second year from ENGL - Must be completed prior to taking this course.",,
,,,,,,,,
,YEAR 3 (5),Semester 5 (Fall),DIGF3008 Atelier III: Investigation (1.0) - This studio-seminar course provides students with the opportunity to further develop their analytical and problem-solving skills in a collaborative praxis (practice through research) environment with the engagement of faculty and industry partners. Atelier III: Investigation is a theme-based course. The core seminar topic is developed on an annual basis through a faculty and student curriculum retreat process. Engagement with industry partners is a key component of the course and underpins student-driven projects. Atelier III: Investigation is a prerequisite for Atelier IV: Synthesis. ,"DIGF-3012 Experimental Projection (0.5 Credits)
Light is material, and with projection technologies comes greater capacity to shape experiences of light and space. This studio-seminar class provides foundations into projection and projection mapping technologies, combining discussion of criticalcontexts and perspectives from art, architecture, film, new media, and design, with the act of developing and implementing projection-based projects. Through lectures, in-class discussions of readings, exhibition visits, and project-based assignments,students will trace the techno-cultural histories of projection/mapping and their contemporary uses and also develop an understanding of the technical considerations of projection-based art, and learn tools and techniques for projection mapping.
Requisites:
SCTM-2005, EXAN-1001, and one of EXAN-2003 or EXAN-2005 - Must be completed prior to taking this course.","INDS-3013 Disruptive Futures (0.5 Credits)
This course examines how companies can deploy and implement disruptive technologies such as AI, robotics and the role design plays in this context. We will explore the development of disruptive technologies and how companies can adopt the new technologies to increase user experience and efficiency, enhance products and services, and diversify their revenue streams. Industry strategies are used to identify opportunities within disruptive technologies and to implement them in developing products and services. The legal, ethical, and economic implications of incorporating disruptive technologies into everyday products and services are examined.","BUSI-3003 Busi Ethics, Sustainability (0.5 Credits)
This course is designed to increase student awareness of the importance of ethics and social responsibility and sustainable economic development for firms of all sizes as well as local and global economies. Following an overview of the complex landscape of business ethics and corporate social responsibility, and the added dimension of sustainable economic practices, the course focuses on three major themes: ethical leadership, ethical decision making, and the application of ethical/sustainability frameworks to all aspects of business, with particular attention to the creative industries.",,
,,,,"DIGF-3007 Game Engines (0.5 Credits)
A game engine is a powerful development tool: enabling complex interactive experiences by providing a pre-defined structure from which to start. This course presents a critical introduction to the history, structure and craft of digital and analog game engines. It examines the affordances, mechanics, and techno-cultural histories behind a range of historic, contemporary and emerging engines and frameworks. Today's game engines are platforms on which creators build rich narratives, immersive experiences, and unique interfaces, within and beyond games. Students will gain a nuanced understanding of the ways in which game engines support and/or disrupt particular design, experiential, and cultural goals.
Requisites:
Take at least one of: DIGF-1007, DIGF-2013 OR DIGF-3006 or permission of the instructor - Must be completed prior to taking this course.","EXAN-3005 Character Design & Animation (0.5 Credits)
Conceptual approaches to character design and animation are developed through a series of experiments and exercises. Character design is explored as an expression of narrative, material, style and the artist's expressive or conceptual intent. It is also addressed critically, with an emphasis on the problematics of representation and stereotyping throughout animation history. Character animation skill is developed through a series of short exercises that emphasize timing, pacing, physics, lipsync and performance. While the course focuses on general principles, considerations when designing characters for various animation techniques -drawn animation, experimental, stop-motion and 3D-are covered. Students with credit in INTM-3028 may not take this course for credit.
Requisites:
One of: DRPT-2015, INTM-2006, INTM-2007, INTM-2008, INTM-2016, EXAN-1001, EXAN-2005, EXAN-2007, EXAN-2008 - Must be completed prior to taking this course.","HUMN-3008 Ethics in the Global Context (0.5 Credits)
A study of key ethical issues in the global context. Taking our approach from multiple points of view derived from American/European, Asian, African, and indigenous societies, we will consider questions such as the following: cultural exploitation, fair trade, social justice, racial discrimination, patenting indigenous knowledge, right to aid, right to food, human rights, justification of war and terrorism, gender rights, the ethical status of abortion, legalization of euthanasia, the value of affirmative action, abuse of power, environmental racism, development and displacement, the problem of ethnocentrism & diversity, terrorism and security, etc. Students will develop tolerance and respect for other cultures and theoretical perspectives, learn how to think critically about ethical issues, and become informed about global ethical values. Students with credit in HUMN-3B10 may not take this course for credit.",,
